schema,run_id,throughput,tardiness_mean,tardiness_max,tardiness_std,wip_mean,submitted_count,completed_count,defect_rate
PROSA,0,0.013887468328472258,160.26222438102897,312.9210820184664,81.2131185448029,2.2256365653420547,9,5,0.0
PROSA,1,0.013875988091658641,147.330725441849,190.2101147663683,46.91050746935336,2.044359391766526,9,5,0.0
PROSA,2,0.014402694019897749,159.37685546451897,343.1572744024383,96.60673356590551,2.295456083108935,10,5,0.0
PROSA,3,0.014384750474457583,121.89652440140394,172.62118163728758,36.63295009879781,1.7534510872178255,10,5,0.0
PROSA,4,0.011111079340875565,213.66344352727884,326.2410293585716,90.64488828489237,2.374031473276281,8,4,0.0
PROSA,5,0.011110063931366453,194.25425682899433,358.0339318216714,102.29329315807509,2.158177212310205,8,4,0.0
PROSA,6,0.00937247590874732,102.68539295019174,102.68539295019174,0.0,0.962416371605924,6,1,0.0
PROSA,7,0.019576163561318156,116.27796873519445,148.24759576119908,29.980908369987876,2.276276534538005,8,3,0.0
PROSA,8,0.01536430845984116,119.4404854656207,174.03637433473762,37.31837936424901,1.8351204612869711,10,5,0.0
PROSA,9,0.016136638756110114,115.03393844880698,155.79857896708234,34.02346108317698,1.856261109441004,10,5,0.0
ADACOR,0,0.011103214667143256,216.54624634896783,357.75602673762944,121.46156221654128,2.404359458576676,8,4,0.0
ADACOR,1,0.013881154466263961,178.66497390722367,266.09058793753,71.69869962685063,2.480076100517192,9,5,0.0
ADACOR,2,0.00990473971133138,204.93977933817723,298.87529405451147,99.62793928540138,2.0298751708423346,8,3,0.0
ADACOR,3,0.015182473883277526,143.57278445137868,276.29907861797994,72.14666496065482,2.1797900502824903,10,5,0.0
ADACOR,4,0.008334588642819258,212.73462260990968,284.25808903179416,50.58630144494762,1.773055569538994,8,3,0.0
ADACOR,5,0.008636056563876537,216.272472192563,343.3807724405832,111.68774310662533,1.8677413030643892,8,3,0.0
ADACOR,6,0.005807748138844781,219.70208371428083,340.3675504147843,120.66546670050347,1.2759743677919348,7,2,0.0
ADACOR,7,0.016205198372200275,149.84223899207518,242.8343742623927,64.37678153254004,2.4282232074012216,9,4,0.0
ADACOR,8,0.015618187987507325,60.02210240605126,60.02210240605126,0.0,0.9374364787831243,6,1,0.0
ADACOR,9,0.010957050565427114,87.21543626213696,87.21543626213696,0.0,0.9556239452100203,6,1,0.0
